Date,"BYU Cougars football"
2016-06-17,95
2016-06-18,89
2016-06-19,114
2016-06-20,120
2016-06-21,128
2016-06-22,149
2016-06-23,142
2016-06-24,118
2016-06-25,88
2016-06-26,135
2016-06-27,118
2016-06-28,186
2016-06-29,183
2016-06-30,233
2016-07-01,198
2016-07-02,153
2016-07-03,160
2016-07-04,170
2016-07-05,146
2016-07-06,196
2016-07-07,155
2016-07-08,137
2016-07-09,107
2016-07-10,127
2016-07-11,115
2016-07-12,136
2016-07-13,96
2016-07-14,119
2016-07-15,114
2016-07-16,132
2016-07-17,103
2016-07-18,125
2016-07-19,189
2016-07-20,407
2016-07-21,401
2016-07-22,284
2016-07-23,273
2016-07-24,192
2016-07-25,261
2016-07-26,250
2016-07-27,303
2016-07-28,216
2016-07-29,238
2016-07-30,335
2016-07-31,230
2016-08-01,229
2016-08-02,212
2016-08-03,222
2016-08-04,197
2016-08-05,246
2016-08-06,199
2016-08-07,231
2016-08-08,189
2016-08-09,279
2016-08-10,205
2016-08-11,209
2016-08-12,224
2016-08-13,233
2016-08-14,219
2016-08-15,210
2016-08-16,194
2016-08-17,213
2016-08-18,187
2016-08-19,197
2016-08-20,181
2016-08-21,243
2016-08-22,275
2016-08-23,307
2016-08-24,324
2016-08-25,286
2016-08-26,296
2016-08-27,451
2016-08-28,333
2016-08-29,393
2016-08-30,374
2016-08-31,383
2016-09-01,395
2016-09-02,631
2016-09-03,1104
2016-09-04,2439
2016-09-05,688
2016-09-06,575
2016-09-07,437
2016-09-08,453
2016-09-09,450
2016-09-10,972
2016-09-11,2611
2016-09-12,525
2016-09-13,424
2016-09-14,286
2016-09-15,280
2016-09-16,277
2016-09-17,402
2016-09-18,1214
2016-09-19,382
2016-09-20,312
2016-09-21,258
2016-09-22,242
2016-09-23,280
2016-09-24,1224
2016-09-25,569
2016-09-26,385
2016-09-27,225
2016-09-28,200
2016-09-29,236
2016-09-30,349
2016-10-01,1431
2016-10-02,447
2016-10-03,394
2016-10-04,333
2016-10-05,234
2016-10-06,261
2016-10-07,294
2016-10-08,1709
2016-10-09,643
2016-10-10,378
2016-10-11,382
2016-10-12,290
2016-10-13,352
2016-10-14,346
2016-10-15,2321
2016-10-16,497
2016-10-17,482
2016-10-18,362
2016-10-19,319
2016-10-20,298
2016-10-21,1372
2016-10-22,522
2016-10-23,424
2016-10-24,307
2016-10-25,339
2016-10-26,267
2016-10-27,266
2016-10-28,217
2016-10-29,402
2016-10-30,330
2016-10-31,212
2016-11-01,221
2016-11-02,205
2016-11-03,195
2016-11-04,217
2016-11-05,674
2016-11-06,405
2016-11-07,263
2016-11-08,198
2016-11-09,144
2016-11-10,161
2016-11-11,254
2016-11-12,444
2016-11-13,391
2016-11-14,279
2016-11-15,218
2016-11-16,221
2016-11-17,184
2016-11-18,221
2016-11-19,460
2016-11-20,411
2016-11-21,304
2016-11-22,253
2016-11-23,219
2016-11-24,217
2016-11-25,299
2016-11-26,474
2016-11-27,912
2016-11-28,488
2016-11-29,373
2016-11-30,385
2016-12-01,285
2016-12-02,267
2016-12-03,431
2016-12-04,599
2016-12-05,486
2016-12-06,343
2016-12-07,341
2016-12-08,348
2016-12-09,414
2016-12-10,327
2016-12-11,404
2016-12-12,310
2016-12-13,339
2016-12-14,286
2016-12-15,241
2016-12-16,211
2016-12-17,284
2016-12-18,234
2016-12-19,263
2016-12-20,270
2016-12-21,562
2016-12-22,2837
2016-12-23,467
2016-12-24,248
2016-12-25,251
2016-12-26,333
2016-12-27,270
2016-12-28,371
2016-12-29,1809
2016-12-30,1534
2016-12-31,617
2017-01-01,455
2017-01-02,606
2017-01-03,510
2017-01-04,337
2017-01-05,284
2017-01-06,233
2017-01-07,295
2017-01-08,385
2017-01-09,312
2017-01-10,727
2017-01-11,272
2017-01-12,242
2017-01-13,231
2017-01-14,207
2017-01-15,304
2017-01-16,487
2017-01-17,206
2017-01-18,168
2017-01-19,169
2017-01-20,148
2017-01-21,116
2017-01-22,189
2017-01-23,221
2017-01-24,148
2017-01-25,155
2017-01-26,163
2017-01-27,156
2017-01-28,126
2017-01-29,153
2017-01-30,161
2017-01-31,170
2017-02-01,226
2017-02-02,187
2017-02-03,236
2017-02-04,168
2017-02-05,253
2017-02-06,327
2017-02-07,241
2017-02-08,229
2017-02-09,200
2017-02-10,171
2017-02-11,147
2017-02-12,197
2017-02-13,167
2017-02-14,152
2017-02-15,169
2017-02-16,164
2017-02-17,173
2017-02-18,114
2017-02-19,133
2017-02-20,145
2017-02-21,124
2017-02-22,126
2017-02-23,163
2017-02-24,156
2017-02-25,132
2017-02-26,213
2017-02-27,139
2017-02-28,177
2017-03-01,118
2017-03-02,130
2017-03-03,109
2017-03-04,103
2017-03-05,135
2017-03-06,129
2017-03-07,171
2017-03-08,140
2017-03-09,115
2017-03-10,140
2017-03-11,132
2017-03-12,154
2017-03-13,120
2017-03-14,130
2017-03-15,124
2017-03-16,151
2017-03-17,113
2017-03-18,144
2017-03-19,151
2017-03-20,161
2017-03-21,142
2017-03-22,125
2017-03-23,157
2017-03-24,152
2017-03-25,155
2017-03-26,190
2017-03-27,159
2017-03-28,130
2017-03-29,117
2017-03-30,122
2017-03-31,141
2017-04-01,110
2017-04-02,158
2017-04-03,130
2017-04-04,155
2017-04-05,112
2017-04-06,110
2017-04-07,124
2017-04-08,103
2017-04-09,101
2017-04-10,115
2017-04-11,190
2017-04-12,178
2017-04-13,122
2017-04-14,98
2017-04-15,118
2017-04-16,89
2017-04-17,122
2017-04-18,125
2017-04-19,162
2017-04-20,112
2017-04-21,126
2017-04-22,101
2017-04-23,96
2017-04-24,122
2017-04-25,131
2017-04-26,131
2017-04-27,161
2017-04-28,170
2017-04-29,282
2017-04-30,255
2017-05-01,218
2017-05-02,208
2017-05-03,163
2017-05-04,157
2017-05-05,158
2017-05-06,99
2017-05-07,132
2017-05-08,162
2017-05-09,135
2017-05-10,132
2017-05-11,131
2017-05-12,94
2017-05-13,121
2017-05-14,91
2017-05-15,135
2017-05-16,106
2017-05-17,128
2017-05-18,135
2017-05-19,112
2017-05-20,102
2017-05-21,115
2017-05-22,144
2017-05-23,111
2017-05-24,116
2017-05-25,117
2017-05-26,104
2017-05-27,98
2017-05-28,116
2017-05-29,113
2017-05-30,92
2017-05-31,100
2017-06-01,89
2017-06-02,118
2017-06-03,139
2017-06-04,95
2017-06-05,111
2017-06-06,131
2017-06-07,143
2017-06-08,136
2017-06-09,108
2017-06-10,120
2017-06-11,134
2017-06-12,123
2017-06-13,134
2017-06-14,119
2017-06-15,132
2017-06-16,94
2017-06-17,94
2017-06-18,97
2017-06-19,104
2017-06-20,107
2017-06-21,84
2017-06-22,105
2017-06-23,155
2017-06-24,169
2017-06-25,134
2017-06-26,132
2017-06-27,124
2017-06-28,157
2017-06-29,150
2017-06-30,162
2017-07-01,143
2017-07-02,150
2017-07-03,150
2017-07-04,119
2017-07-05,103
2017-07-06,103
2017-07-07,107
2017-07-08,133
2017-07-09,118
2017-07-10,141
2017-07-11,126
2017-07-12,125
2017-07-13,131
2017-07-14,114
2017-07-15,134
2017-07-16,110
2017-07-17,140
2017-07-18,204
2017-07-19,129
2017-07-20,178
2017-07-21,115
2017-07-22,140
2017-07-23,107
2017-07-24,152
2017-07-25,157
2017-07-26,167
2017-07-27,144
2017-07-28,179
2017-07-29,154
2017-07-30,161
2017-07-31,146
2017-08-01,169
2017-08-02,187
2017-08-03,187
2017-08-04,205
2017-08-05,248
2017-08-06,169
2017-08-07,229
2017-08-08,196
2017-08-09,175
2017-08-10,211
2017-08-11,268
2017-08-12,198
2017-08-13,194
2017-08-14,217
2017-08-15,187
2017-08-16,229
2017-08-17,215
2017-08-18,195
2017-08-19,194
2017-08-20,288
2017-08-21,215
2017-08-22,231
2017-08-23,233
2017-08-24,232
2017-08-25,263
2017-08-26,1766
2017-08-27,806
2017-08-28,589
2017-08-29,478
2017-08-30,371
2017-08-31,373
2017-09-01,481
2017-09-02,828
2017-09-03,3145
2017-09-04,484
2017-09-05,404
2017-09-06,361
2017-09-07,372
2017-09-08,586
2017-09-09,884
2017-09-10,1716
2017-09-11,373
2017-09-12,341
2017-09-13,339
2017-09-14,331
2017-09-15,434
2017-09-16,1921
2017-09-17,830
2017-09-18,472
2017-09-19,354
2017-09-20,245
2017-09-21,267
2017-09-22,290
2017-09-23,507
2017-09-24,395
2017-09-25,250
2017-09-26,244
2017-09-27,201
2017-09-28,222
2017-09-29,309
2017-09-30,983
2017-10-01,424
2017-10-02,242
2017-10-03,347
2017-10-04,285
2017-10-05,236
2017-10-06,272
2017-10-07,1647
2017-10-08,447
2017-10-09,539
2017-10-10,457
2017-10-11,329
2017-10-12,297
2017-10-13,301
2017-10-14,1003
2017-10-15,799
2017-10-16,452
2017-10-17,318
2017-10-18,231
2017-10-19,279
2017-10-20,361
2017-10-21,458
2017-10-22,1260
2017-10-23,547
2017-10-24,429
2017-10-25,309
2017-10-26,270
2017-10-27,276
2017-10-28,418
2017-10-29,398
2017-10-30,303
2017-10-31,318
2017-11-01,261
2017-11-02,267
2017-11-03,245
2017-11-04,440
2017-11-05,940
2017-11-06,442
2017-11-07,371
2017-11-08,328
2017-11-09,285
2017-11-10,227
2017-11-11,796
2017-11-12,504
2017-11-13,349
2017-11-14,253
2017-11-15,294
2017-11-16,264
2017-11-17,242
2017-11-18,616
2017-11-19,725
2017-11-20,406
2017-11-21,408
2017-11-22,271
2017-11-23,242
2017-11-24,316
2017-11-25,552
2017-11-26,1011
2017-11-27,744
2017-11-28,481
2017-11-29,374
2017-11-30,325
2017-12-01,311
2017-12-02,320
2017-12-03,779
2017-12-04,488
2017-12-05,387
2017-12-06,291
2017-12-07,274
2017-12-08,298
2017-12-09,369
2017-12-10,344
2017-12-11,273
2017-12-12,252
2017-12-13,216
2017-12-14,431
2017-12-15,238
2017-12-16,282
2017-12-17,364
2017-12-18,230
2017-12-19,247
2017-12-20,220
2017-12-21,222
2017-12-22,185
2017-12-23,234
2017-12-24,241
2017-12-25,206
2017-12-26,297
2017-12-27,399
2017-12-28,561
2017-12-29,403
2017-12-30,414
2017-12-31,384
2018-01-01,391
2018-01-02,581
2018-01-03,413
2018-01-04,332
2018-01-05,328
2018-01-06,423
2018-01-07,396
2018-01-08,299
2018-01-09,534
2018-01-10,264
2018-01-11,246
2018-01-12,236
2018-01-13,190
2018-01-14,308
2018-01-15,407
2018-01-16,197
2018-01-17,194
2018-01-18,220
2018-01-19,208
2018-01-20,224
2018-01-21,263
2018-01-22,237
2018-01-23,214
2018-01-24,226
2018-01-25,267
2018-01-26,212
2018-01-27,177
2018-01-28,177
2018-01-29,189
2018-01-30,195
2018-01-31,193
2018-02-01,175
2018-02-02,189
2018-02-03,159
2018-02-04,268
2018-02-05,338
2018-02-06,208
2018-02-07,199
2018-02-08,248
2018-02-09,187
2018-02-10,158
2018-02-11,132
2018-02-12,149
2018-02-13,146
2018-02-14,160
2018-02-15,198
2018-02-16,126
2018-02-17,128
2018-02-18,152
2018-02-19,141
2018-02-20,131
2018-02-21,123
2018-02-22,141
2018-02-23,129
2018-02-24,115
2018-02-25,148
2018-02-26,163
2018-02-27,177
2018-02-28,183
2018-03-01,189
2018-03-02,142
2018-03-03,140
2018-03-04,159
2018-03-05,150
2018-03-06,209
2018-03-07,239
2018-03-08,225
2018-03-09,161
2018-03-10,174
2018-03-11,179
2018-03-12,188
2018-03-13,201
2018-03-14,159
2018-03-15,154
2018-03-16,149
2018-03-17,158
2018-03-18,142
2018-03-19,172
2018-03-20,153
2018-03-21,159
2018-03-22,179
2018-03-23,127
2018-03-24,144
2018-03-25,169
2018-03-26,159
2018-03-27,141
2018-03-28,128
2018-03-29,178
2018-03-30,144
2018-03-31,132
2018-04-01,167
2018-04-02,176
2018-04-03,194
2018-04-04,179
2018-04-05,156
2018-04-06,139
2018-04-07,128
2018-04-08,133
2018-04-09,160
2018-04-10,152
2018-04-11,159
2018-04-12,159
2018-04-13,118
2018-04-14,133
2018-04-15,113
2018-04-16,158
2018-04-17,182
2018-04-18,160
2018-04-19,141
2018-04-20,114
2018-04-21,120
2018-04-22,133
2018-04-23,178
2018-04-24,152
2018-04-25,183
2018-04-26,191
2018-04-27,196
2018-04-28,228
2018-04-29,173
2018-04-30,143
2018-05-01,177
2018-05-02,173
2018-05-03,159
2018-05-04,160
2018-05-05,137
2018-05-06,140
2018-05-07,146
2018-05-08,147
2018-05-09,161
2018-05-10,142
2018-05-11,199
2018-05-12,146
2018-05-13,165
2018-05-14,181
2018-05-15,210
2018-05-16,182
2018-05-17,151
2018-05-18,157
2018-05-19,127
2018-05-20,134
2018-05-21,122
2018-05-22,163
2018-05-23,162
2018-05-24,158
2018-05-25,173
2018-05-26,156
2018-05-27,143
2018-05-28,144
2018-05-29,125
2018-05-30,131
2018-05-31,136
2018-06-01,117
2018-06-02,122
2018-06-03,140
2018-06-04,126
2018-06-05,133
2018-06-06,148
2018-06-07,151
2018-06-08,126
2018-06-09,152
2018-06-10,142
2018-06-11,160
2018-06-12,150
2018-06-13,160
2018-06-14,170
2018-06-15,140
2018-06-16,122
2018-06-17,127
2018-06-18,135
2018-06-19,144
2018-06-20,175
2018-06-21,130
2018-06-22,181
2018-06-23,160
2018-06-24,154
2018-06-25,194
2018-06-26,165
2018-06-27,141
2018-06-28,164
2018-06-29,179
2018-06-30,169
2018-07-01,141
2018-07-02,205
2018-07-03,179
2018-07-04,148
2018-07-05,153
2018-07-06,140
2018-07-07,152
2018-07-08,164
2018-07-09,178
2018-07-10,256
2018-07-11,186
2018-07-12,189
2018-07-13,240
2018-07-14,172
2018-07-15,206
2018-07-16,192
2018-07-17,188
2018-07-18,261
2018-07-19,202
2018-07-20,208
2018-07-21,191
2018-07-22,179
2018-07-23,182
2018-07-24,207
2018-07-25,214
2018-07-26,229
2018-07-27,239
2018-07-28,210
2018-07-29,234
2018-07-30,254
2018-07-31,261
2018-08-01,267
2018-08-02,290
2018-08-03,311
2018-08-04,277
2018-08-05,244
2018-08-06,267
2018-08-07,297
2018-08-08,228
2018-08-09,247
2018-08-10,318
2018-08-11,245
2018-08-12,287
2018-08-13,255
2018-08-14,293
2018-08-15,315
2018-08-16,343
2018-08-17,291
2018-08-18,307
2018-08-19,281
2018-08-20,331
2018-08-21,328
2018-08-22,279
2018-08-23,319
2018-08-24,284
2018-08-25,317
2018-08-26,469
2018-08-27,404
2018-08-28,433
2018-08-29,433
2018-08-30,459
2018-08-31,614
2018-09-01,775
2018-09-02,3077
2018-09-03,708
2018-09-04,598
2018-09-05,511
2018-09-06,462
2018-09-07,580
2018-09-08,747
2018-09-09,1675
2018-09-10,604
2018-09-11,404
2018-09-12,335
2018-09-13,470
2018-09-14,425
2018-09-15,4516
2018-09-16,2728
2018-09-17,957
2018-09-18,633
2018-09-19,503
2018-09-20,427
2018-09-21,409
2018-09-22,782
2018-09-23,1331
2018-09-24,600
2018-09-25,507
2018-09-26,512
2018-09-27,458
2018-09-28,502
2018-09-29,747
2018-09-30,1809
2018-10-01,532
2018-10-02,466
2018-10-03,375
2018-10-04,391
2018-10-05,466
2018-10-06,1672
2018-10-07,777
2018-10-08,488
2018-10-09,817
2018-10-10,399
2018-10-11,389
2018-10-12,337
2018-10-13,604
2018-10-14,1591
2018-10-15,622
2018-10-16,459
2018-10-17,299
2018-10-18,389
2018-10-19,301
2018-10-20,414
2018-10-21,702
2018-10-22,627
2018-10-23,364
2018-10-24,355
2018-10-25,339
2018-10-26,361
2018-10-27,697
2018-10-28,588
2018-10-29,699
2018-10-30,418
2018-10-31,380
2018-11-01,343
2018-11-02,368
2018-11-03,502
2018-11-04,1030
2018-11-05,571
2018-11-06,358
2018-11-07,307
2018-11-08,322
2018-11-09,306
2018-11-10,547
2018-11-11,586
2018-11-12,396
2018-11-13,345
2018-11-14,340
2018-11-15,318
2018-11-16,368
2018-11-17,454
2018-11-18,1028
2018-11-19,532
2018-11-20,908
2018-11-21,468
2018-11-22,422
2018-11-23,865
2018-11-24,769
2018-11-25,1691
2018-11-26,532
2018-11-27,482
2018-11-28,427
2018-11-29,409
2018-11-30,479
2018-12-01,619
2018-12-02,662
2018-12-03,685
2018-12-04,473
2018-12-05,350
2018-12-06,362
2018-12-07,350
2018-12-08,438
2018-12-09,596
2018-12-10,424
2018-12-11,350
2018-12-12,398
2018-12-13,398
2018-12-14,565
2018-12-15,378
2018-12-16,403
2018-12-17,382
2018-12-18,531
2018-12-19,364
2018-12-20,392
2018-12-21,1647
2018-12-22,1322
2018-12-23,497
2018-12-24,456
2018-12-25,383
2018-12-26,369
2018-12-27,428
2018-12-28,372
2018-12-29,608
2018-12-30,639
2018-12-31,463
2019-01-01,648
2019-01-02,584
2019-01-03,459
2019-01-04,343
2019-01-05,354
2019-01-06,413
2019-01-07,380
2019-01-08,706
2019-01-09,381
2019-01-10,358
2019-01-11,393
2019-01-12,510
2019-01-13,1081
2019-01-14,621
2019-01-15,361
2019-01-16,351
2019-01-17,362
2019-01-18,297
2019-01-19,163
2019-01-20,793
2019-01-21,1085
2019-01-22,241
2019-01-23,233
2019-01-24,214
2019-01-25,217
2019-01-26,180
2019-01-27,189
2019-01-28,160
2019-01-29,203
2019-01-30,168
2019-01-31,175
2019-02-01,199
2019-02-02,185
2019-02-03,200
2019-02-04,489
2019-02-05,262
2019-02-06,227
2019-02-07,285
2019-02-08,280
2019-02-09,231
2019-02-10,288
2019-02-11,251
2019-02-12,225
2019-02-13,292
2019-02-14,182
2019-02-15,205
2019-02-16,220
2019-02-17,181
2019-02-18,159
2019-02-19,160
2019-02-20,154
2019-02-21,151
2019-02-22,165
2019-02-23,108
2019-02-24,203
2019-02-25,135
2019-02-26,127
2019-02-27,124
2019-02-28,79
2019-03-01,191
2019-03-02,133
2019-03-03,145
2019-03-04,127
2019-03-05,141
2019-03-06,105
2019-03-07,106
2019-03-08,101
2019-03-09,167
2019-03-10,228
2019-03-11,154
2019-03-12,191
2019-03-13,153
2019-03-14,100
2019-03-15,110
2019-03-16,119
2019-03-17,125
2019-03-18,132
2019-03-19,125
2019-03-20,122
2019-03-21,110
2019-03-22,124
2019-03-23,128
2019-03-24,177
2019-03-25,101
2019-03-26,194
2019-03-27,126
2019-03-28,100
2019-03-29,112
2019-03-30,133
